Image_Name,GM_x,GM_y,GM_z,M1_x,M1_y,M1_z,M2_x,M2_y,M2_z
01.jpeg,0.0,-204.82216400938813,83.75748473043484,-5.0,-194.7135172162948,83.50336376862828,-5.0,-101.71396671983601,81.16545092000788
02.jpeg,0.0,-206.15840079997992,88.69769722710058,-5.0,-196.3243913938054,88.89653680986675,-5.0,-103.6987459344522,83.89168488617122
03.jpeg,0.0,-205.1381551373903,105.62219416415073,-5.0,-195.15414335666554,104.47909351065243,-5.0,-104.28717265083282,94.16577553298723
04.jpeg,0.0,-203.50631719477883,122.0852598579012,-5.0,-193.9215778133414,120.50614005728394,-5.0,-103.19082490169785,104.39751268616885
05.jpeg,0.0,-199.11652260115812,138.92504980768248,-5.0,-189.9933731251923,136.46542101410037,-5.0,-101.94447477801259,113.28730960308599
06.jpeg,0.0,-195.33832028755938,156.22627100076338,-5.0,-186.00285093085898,152.8691918167627,-5.0,-100.32421961722173,124.84404559507828
07.jpeg,0.0,-190.67388830701992,172.6131004059719,-5.0,-181.213783937951,170.14500091366293,-5.0,-97.75541728330583,135.93087964504406
08.jpeg,0.0,-185.73481893956153,188.54696926660768,-5.0,-176.33703207667685,185.63437992845286,-5.0,-94.23806777626484,146.54781175298334
09.jpeg,0.0,-180.4334273168182,202.2414475005604,-5.0,-171.83418525250835,198.45681986816766,-5.0,-90.94462093177907,153.155864549583
10.jpeg,0.0,-173.01103868526957,219.0050011617997,-5.0,-164.9357040326155,213.89537469059624,-5.0,-86.14176935850992,163.29442401676886
11.jpeg,0.0,-162.7683758965274,236.58976892491563,-5.0,-155.76622342936702,231.06106470404697,-5.0,-79.52950830735665,174.27960968201202
