Interval,Angle_rad,GM_x,GM_y,GM_z,M1_x,M1_y,M1_z,M2_x,M2_y,M2_z
0,0.000,0.000,-200.000,80.000,-5.000,-191.000,77.500,-5.000,-100.000,77.500
1,0.120,-0.000,-204.628,91.049,-5.000,-193.211,90.117,-5.000,-102.305,86.041
2,0.240,-0.000,-205.542,106.809,-5.000,-194.196,105.240,-5.000,-103.718,95.604
3,0.360,-0.000,-205.024,123.375,-5.000,-193.795,121.118,-5.000,-104.157,105.541
4,0.480,0.000,-203.076,139.995,-5.000,-192.008,137.053,-5.000,-103.611,115.558
5,0.600,0.000,-199.685,156.527,-5.000,-188.820,152.905,-5.000,-102.066,125.552
6,0.720,0.000,-194.816,172.900,-5.000,-184.201,168.604,-5.000,-99.508,135.442
7,0.840,0.000,-188.431,189.042,-5.000,-178.113,184.073,-5.000,-95.924,145.142
8,0.960,0.000,-180.471,204.878,-5.000,-170.506,199.236,-5.000,-91.303,154.562
9,1.080,0.000,-170.854,220.335,-5.000,-161.305,214.015,-5.000,-85.631,163.613
10,1.200,0.000,-159.465,235.332,-5.000,-150.406,228.328,-5.000,-78.891,172.197
