Interval,Angle_rad,GM_x,GM_y,GM_z,M1_x,M1_y,M1_z,M2_x,M2_y,M2_z
0,0.000,0.000,-200.000,80.000,-5.000,-191.000,77.500,-5.000,-100.000,77.500
1,0.120,0.000,-203.917,93.348,-5.000,-192.517,92.236,-5.000,-101.678,86.955
2,0.240,0.000,-204.499,110.196,-5.000,-193.197,108.339,-5.000,-102.947,96.791
3,0.360,-0.000,-203.609,127.195,-5.000,-192.455,124.595,-5.000,-103.234,106.792
4,0.480,0.000,-201.247,144.117,-5.000,-190.289,140.788,-5.000,-102.529,116.825
5,0.600,0.000,-197.392,160.899,-5.000,-186.678,156.851,-5.000,-100.817,126.812
6,0.720,0.000,-192.027,177.441,-5.000,-181.609,172.685,-5.000,-98.090,136.662
7,0.840,0.000,-185.138,193.636,-5.000,-175.068,188.183,-5.000,-94.347,146.281
8,0.960,0.000,-176.704,209.381,-5.000,-167.036,203.242,-5.000,-89.591,155.574
9,1.080,0.000,-166.690,224.578,-5.000,-157.484,217.766,-5.000,-83.827,164.447
10,1.200,0.000,-155.037,239.133,-5.000,-146.362,231.658,-5.000,-77.057,172.805
