Interval,Angle_rad,GM_x,GM_y,GM_z,M1_x,M1_y,M1_z,M2_x,M2_y,M2_z
0,0.000,0.000,-200.000,80.000,-5.000,-191.000,77.500,-22.000,-110.000,77.500
1,0.120,0.208,-201.865,98.188,-5.019,-192.804,97.336,-21.896,-112.105,89.634
2,0.240,0.201,-201.333,119.031,-5.026,-192.391,117.337,-21.895,-112.793,101.975
3,0.360,0.190,-198.621,139.786,-5.036,-189.877,137.262,-21.896,-112.113,114.356
4,0.480,0.177,-193.719,160.265,-5.048,-185.252,156.928,-21.900,-110.055,126.642
5,0.600,0.163,-186.635,180.258,-5.062,-178.524,176.129,-21.906,-106.625,138.684
6,0.720,0.146,-177.394,199.547,-5.078,-169.717,194.656,-21.914,-101.842,150.336
7,0.840,0.127,-166.035,217.911,-5.096,-158.872,212.293,-21.924,-95.740,161.448
8,0.960,0.108,-152.619,235.124,-5.114,-146.048,228.824,-21.937,-88.369,171.874
9,1.080,0.087,-137.228,250.958,-5.134,-131.327,244.026,-21.951,-79.792,181.466
10,1.200,0.066,-119.965,265.183,-5.154,-114.810,257.679,-21.967,-70.092,190.083
